Year,January,February,March,April,May,June,July,August,September,October,November,December
1968,38.42,17.27,24.47,14.27,11.99,1.03,73.15,127.56,108.86,77.97,43.51,21.4
1969,26.62,8.97,12.52,9.86,6.19,14.22,83.97,89.73,62.79,43.66,53.36,97.48
1970,34.42,14.03,11.81,23.51,6.23,38.58,39.14,31.07,110.14,144.41,161,82.95
1971,21.63,24.45,31.93,18.1,44.42,144.38,125.05,27.03,17.17,175.37,178,147.21
1972,71.25,27.08,24.91,25.65,20.97,32.5,359.7,126.92,105.26,61.16,111.63,93.65
1973,23.04,34.84,11.99,8.38,8.31,10.45,30.75,35.6,46.74,163.34,142.17,82.66
1974,18.91,33.61,26.5,7.18,27.63,51.73,41.71,239.96,30.14,102.46,147.49,133.05
1975,88.31,41.04,21.98,44.73,14.9,27.81,21.06,81.1,54.44,64.05,66.89,206.04
1976,57.44,25.53,15.21,8.24,227.61,103.24,93.3,57.93,100.74,59.12,89.05,78.59
1977,57.45,38.52,27.17,12.2,23.85,12.13,77.74,61.89,76.77,30.16,104.12,22.6
1978,23.7,17.74,7.5,5.06,13.6,25.3,30.59,114.3,136.53,275.56,102.25,82.41
1979,34.65,16.95,11.81,18.72,25.44,44.8,56.64,98.73,50.64,93.83,117.47,38.44
1980,26.2,16.75,45.91,14.14,17.96,50.78,120.34,33.03,82.5,134.34,165.09,53.34
1981,31.51,21.81,9.64,7.86,9.7,65.32,102.17,93.94,57.36,126.68,204.21,96.84
1982,30.41,22.84,18.81,17.33,14.81,18.68,117.45,110.06,71.68,40.9,91.32,57.74
1983,41.31,16.6,9.47,2.58,4.07,11.01,22.49,71.96,34.25,154.75,35.46,24.75
1984,35.27,18.8,22.56,8.14,14.68,31.57,32.22,106.01,49.44,129.91,63.35,33.14
1985,16.77,12.78,8.64,13.99,8.89,148.73,93.24,69.07,115.83,186.71,97.09,38.13
1986,35.1,19.91,17.68,10.41,9.53,26,126.33,89.64,103.63,187.88,169.08,97.31
1987,50.68,21.42,7.62,4.6,2.49,13.94,9.48,48.41,46.94,44.13,124.44,127.98
1988,58.42,43.82,15.95,26.71,15.14,54.99,34.8,26.15,16.42,235.98,168.34,29.33
1989,40.91,34.22,53.92,20.49,33.79,36.6,81.45,88,87.29,79.98,59.9,27.02
1990,19.96,16.79,13.17,5.85,21.08,74.91,62.98,150.03,120.06,94.09,145.54,80.64
1991,34.69,27.97,20.97,14.46,15.93,86.36,64.38,88.29,88.92,25.27,69.96,42.14
1992,23.42,11.85,5.47,1.56,3.21,4.93,63.44,133.9,119.53,91.31,168.94,69.74
1993,24.72,16.54,12.57,8.16,3.99,6.42,24.37,36.54,55.87,132.52,115.38,170.96
1994,53.45,27.66,20.71,10.3,11.54,46.85,59.73,40.44,42.89,111.66,34.73,87.68
1995,38.29,35.18,5.57,3.17,9.45,34.24,54.22,77.1,120.07,242.65,103.26,200.41
1996,36.25,27.33,11.38,30.82,22.07,29.7,65.23,51.56,38.08,93.08,216.89,61.6
1997,21.28,30.81,11.6,4.62,24.2,18.61,38.23,53.24,33.41,33.69,16.75,32.45
1998,19.44,11.59,7.8,12.04,7.78,15.04,13.85,19.32,75.47,150.34,123.57,284.18
1999,122.94,30.9,35.52,41.25,22.17,46.84,60.24,154.91,103.79,124.11,133.77,176.81
2000,63.44,89.99,32.39,18.68,37.86,37.8,204.97,52.96,69.35,117.85,150.41,169.57
2001,45.92,81.11,51.99,19.76,19.83,31.46,68.84,72.64,52.8,86.16,91.83,138.37
2002,12.55,36.8,13.6,20.36,18.16,13.13,164.96,74.89,56.39,39.43,94.13,54.63
2003,28.21,19.46,15.73,9.68,68.25,29.11,47.04,83.91,65.78,31.75,101.76,37.41
2004,19.09,33.33,8.4,4.05,14.38,23.1,49.23,105.45,41.17,18.31,127.3,130.66
2005,27.41,18.94,16.2,6.43,2.99,25.63,53.51,47.98,117.79,101.56,102.11,166.2
2006,76.46,47.51,6.87,2.16,11.12,11.34,52,54.69,49.66,33.58,77.02,141.57
2007,62.8,23.31,15.15,15,32.86,33.27,29.6,119.67,83.83,105.64,192.82,94.95
2008,79.42,66.78,27.86,22.49,51.47,44.27,53.27,72.23,33.75,117.44,124.03,39
2009,50.84,26.64,18.08,46.43,46.08,63.97,53.23,72.01,131.71,147.36,109.5,21.33
2010,38.58,6.6,5.07,8.45,4.16,8.33,28.47,36.14,32.21,65.43,121.79,47.67
2011,40.67,14.81,35.55,14.03,15.39,95.74,31.57,83.4,135.07,88.03,173.49,197.17
2012,45.83,41.04,37.54,20.47,20.72,29.22,92.3,229.76,96.11,92.61,50.01,54.7
2013,59.5,64.75,16.27,17.24,25.87,41.57,73.85,157.6,78.16,90.18,159.27,43.48
