YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1968 ,10.30 ,9.66 ,10.98 ,12.06 ,12.94 ,11.06 ,7.79 ,7.31 ,6.47 ,4.59 ,3.41 ,3.32 
1969 ,3.84 ,3.98 ,3.93 ,10.91 ,10.34 ,6.90 ,8.57 ,4.14 ,3.57 ,3.75 ,8.02 ,13.75 
1970 ,9.55 ,10.24 ,5.54 ,8.41 ,10.73 ,9.56 ,7.77 ,4.79 ,2.82 ,3.73 ,2.79 ,5.36 
1971 ,8.82 ,9.90 ,10.40 ,11.62 ,6.20 ,3.87 ,4.29 ,6.15 ,5.42 ,3.86 ,4.75 ,5.88 
1972 ,7.39 ,9.66 ,10.26 ,11.34 ,7.41 ,2.99 ,1.07 ,10.54 ,11.26 ,9.22 ,10.12 ,11.21 
1973 ,12.53 ,13.08 ,13.26 ,13.35 ,12.42 ,10.58 ,10.30 ,7.69 ,6.01 ,3.77 ,6.28 ,9.95 
1974 ,11.55 ,12.08 ,12.60 ,11.12 ,11.79 ,10.39 ,7.49 ,3.84 ,10.54 ,6.42 ,7.50 ,7.67 
1975 ,10.91 ,12.39 ,12.72 ,13.00 ,12.99 ,12.58 ,11.87 ,10.41 ,9.47 ,8.65 ,11.00 ,9.07 
1976 ,11.00 ,12.82 ,12.77 ,13.19 ,9.87 ,9.82 ,8.92 ,8.94 ,9.07 ,9.35 ,12.16 ,12.29 
1977 ,13.00 ,12.89 ,12.67 ,12.98 ,13.08 ,12.94 ,9.99 ,7.14 ,3.44 ,10.34 ,9.73 ,12.63 
1978 ,13.39 ,12.85 ,13.65 ,13.95 ,13.32 ,13.54 ,12.34 ,4.44 ,2.97 ,8.79 ,6.58 ,6.95 
1979 ,10.08 ,14.94 ,12.30 ,14.10 ,12.57 ,11.49 ,7.80 ,2.71 ,7.93 ,5.91 ,10.87 ,11.63 
1980 ,12.69 ,12.91 ,12.73 ,12.99 ,12.61 ,12.39 ,8.43 ,9.99 ,6.15 ,8.42 ,7.76 ,12.11 
1981 ,12.60 ,13.02 ,13.44 ,14.52 ,15.36 ,9.12 ,3.67 ,2.73 ,7.90 ,9.91 ,10.83 ,17.37 
1982 ,16.95 ,13.43 ,14.64 ,17.26 ,16.88 ,16.13 ,11.10 ,5.78 ,10.82 ,16.20 ,19.85 ,19.70 
1983 ,19.76 ,19.92 ,17.42 ,19.49 ,15.91 ,17.10 ,16.02 ,9.37 ,13.92 ,5.86 ,17.03 ,16.49 
1984 ,21.20 ,21.99 ,20.28 ,20.52 ,11.64 ,15.54 ,11.60 ,5.09 ,10.56 ,10.15 ,13.24 ,20.36 
1985 ,20.80 ,20.65 ,19.94 ,19.66 ,19.51 ,10.99 ,14.04 ,14.89 ,14.79 ,17.13 ,19.54 ,20.07 
1986 ,20.78 ,21.02 ,20.52 ,19.87 ,19.23 ,26.11 ,17.28 ,14.30 ,16.05 ,21.14 ,22.22 ,23.86 
1987 ,26.67 ,28.12 ,26.82 ,27.40 ,26.81 ,24.74 ,23.63 ,18.92 ,18.79 ,23.07 ,25.97 ,23.64 
1988 ,26.04 ,27.27 ,26.95 ,27.04 ,25.67 ,20.09 ,18.60 ,19.49 ,22.54 ,10.46 ,22.74 ,26.24 
