,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
1990,5,2,2,19,194,469,583,603,581,253,304,99
1991,12,8,7,25,50,260,531,725,373,147,104,2
1992,5,1,-1,-1,88,147,520,769,385,209,143,7
1993,-1,1,16,16,1,326,497,475,518,351,224,165
1994,49,25,42,30,185,422,800,345,427,156,8,113
1995,17,8,2,5,303,393,360,647,749,349,185,190
1996,19,-1,11,80,116,142,400,340,486,277,162,13
1997,12,33,1,30,484,167,565,560,235,98,46,10
1998,17,-1,5,1,186,289,200,273,618,487,179,444
1999,39,4,83,138,201,246,708,866,436,344,167,136
2000,17,38,104,38,592,177,1,003,520,604,537,255,188
2001,21,105,12,31,261,249,519,549,183,191,73,97
2002,8,13,22,20,50,184,1,310,445,426,242,235,37
2003,2,7,10,22,466,232,268,381,498,185,118,7
2004,6,37,-1,88,207,215,336,686,308,87,205,60
2005,13,12,16,36,138,529,221,342,414,488,77,87
2006,56,7,79,-1,173,334,663,310,668,212,89,77
2007,2,24,22,26,258,99,206,670,438,220,285,52
2008,47,24,39,36,262,361,225,430,448,249,188,70
2009,43,10,94,139,268,438,661,408,1,124,272,54,7
2010,5,-1,2,20,62,356,410,628,387,414,255,137
2011,155,0,33,4,312,725,548,634,446,285,271,220
2012,41,129,196,2,328,313,886,1,387,736,339,27,48
