YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1968 ,36.40,39.45,43.52,43.05,54.03,51.06,42.59,79.49,65.71,39.95,22.70,21.53
1969 ,26.55,22.36,11.83,10.29,9.45,32.59,28.82,98.60,65.88,24.27,23.32,18.12
1970 ,47.94,35.85,52.04,63.19,67.96,49.90,82.41,56.77,40.51,38.10,37.73,114.66
1971 ,50.60,67.84,100.12,82.99,75.33,76.12,79.44,113.12,61.88,54.45,61.86,139.52
1972 ,113.93,68.77,74.35,88.01,75.86,35.12,65.91,119.56,129.02,93.26,78.17,65.49
1973 ,32.50,36.49,51.30,38.16,61.55,46.57,47.55,21.78,22.75,55.30,45.16,69.93
1974 ,45.50,54.46,38.95,27.48,20.81,53.58,34.15,39.82,79.24,27.29,105.42,125.67
1975 ,77.33,62.53,57.99,69.32,50.30,56.43,39.69,34.23,72.70,33.86,38.84,43.41
1976 ,37.52,50.96,48.06,57.02,57.24,114.91,117.59,124.36,75.63,57.23,66.06,81.64
1977 ,73.34,96.32,12.10,1.07,0.29,26.26,24.96,34.32,20.07,15.27,17.33,24.66
1978 ,30.43,36.44,23.03,12.46,14.26,34.27,29.99,32.31,41.04,86.31,113.50,47.94
1979 ,33.41,55.87,59.57,20.82,20.75,44.55,72.89,61.08,36.41,64.26,29.46,27.61
1980 ,32.31,42.19,36.28,44.56,19.54,63.39,75.34,40.55,35.95,75.97,93.29,52.80
1981 ,35.13,45.44,32.83,26.05,11.67,37.73,65.84,66.37,72.50,66.37,79.83,80.06
1982 ,32.30,49.73,53.50,61.47,15.09,64.31,11.22,45.85,54.97,36.92,55.21,41.10
1983 ,33.52,47.75,15.20,4.31,2.47,35.89,13.38,18.33,8.62,8.17,34.71,26.53
1984 ,28.99,30.84,31.21,3.63,6.49,46.57,37.00,12.29,32.67,38.81,56.93,55.28
1985 ,29.17,23.40,19.47,8.22,11.72,26.50,77.37,80.16,73.27,79.11,81.43,40.37
1986 ,37.52,38.18,30.63,11.18,10.60,23.82,45.90,34.94,55.70,95.49,97.61,50.62
1987 ,34.68,38.05,37.53,11.95,3.47,21.57,10.26,0.70,2.44,7.23,4.25,37.93
1988 ,35.35,33.84,34.45,24.59,13.09,84.57,33.35,19.52,6.97,24.92,86.28,30.60
1989 ,38.05,35.62,34.60,15.96,20.30,49.88,75.75,72.27,58.95,47.29,4.51,11.79
1990 ,10.41,10.19,9.92,4.38,0.00,5.20,34.55,54.81,92.03,52.52,98.50,35.50
1991 ,42.36,40.51,31.87,24.92,8.60,52.14,42.21,34.17,69.30,15.33,15.87,30.88
1992 ,30.57,32.20,22.75,3.62,0.01,0.00,0.00,2.01,7.87,55.73,98.04,44.59
1993 ,41.04,40.63,36.01,24.63,3.50,0.00,0.00,0.00,0.00,4.01,7.99,70.97
1994 ,42.02,37.96,36.11,23.18,10.29,20.90,36.82,20.65,0.94,17.00,13.14,28.94
1995 ,29.94,31.87,29.52,12.20,3.56,8.25,12.93,3.18,0.09,89.76,58.68,98.24
1996 ,24.63,33.53,27.78,13.83,6.65,27.43,18.72,7.00,4.70,4.96,60.90,41.87
1997 ,29.36,28.12,20.24,4.66,0.00,11.48,9.54,8.83,14.11,6.41,0.63,0.00
1998 ,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.63,91.37
1999 ,101.51,29.88,32.22,23.98,14.13,18.16,23.21,91.91,59.17,65.07,67.77,105.43
2000 ,32.61,60.35,33.88,33.87,16.52,19.72,85.10,31.22,36.65,57.44,104.25,97.26
2001 ,46.33,43.58,44.56,30.49,11.36,12.17,15.50,23.52,30.47,18.68,15.50,42.97
2002 ,33.18,36.21,39.91,19.73,1.38,11.38,9.32,11.08,14.34,20.58,34.55,36.42
2003 ,31.73,31.21,32.34,17.29,4.54,9.98,25.22,19.41,18.31,30.90,7.88,34.49
2004,35.28,28.46,22.02,4.64,0.00,0.00,0.00,0.00,3.11,8.30,14.29,75.68
2005,30.13,27.64,25.49,5.91,0.00,0.00,3.91,2.98,12.65,11.50,57.35,87.13
2006,61.58,78.41,25.01,10.35,29.27,19.84,23.13,23.19,26.24,19.40,10.99,28.93
2007,33.07,31.90,27.83,21.23,0.00,23.37,21.52,7.19,22.46,10.49,51.15,59.13
2008,39.51,38.99,32.11,13.80,31.51,41.62,32.89,36.44,40.34,35.22,65.58,42.08
2009,46.65,43.79,28.21,12.42,0.56,43.25,29.74,33.90,43.48,71.70,63.58,33.43
2010,33.60,33.07,20.59,3.67,0.00,0.00,0.00,0.00,0.11,10.53,5.73,29.11
2011,30.06,32.18,26.93,7.68,3.08,0.00,27.93,36.34,48.58,73.36,79.90,72.61
2012,48.28,47.56,33.01,17.47,17.02,29.08,34.07,34.54,50.63,43.39,36.05,38.03
2013,40.55,41.21,33.60,29.13,25.24,35.93,34.33,39.26,40.66,41.98,42.38,42.74
