Year,January,February,March,April,May,June,July,August,September,October,November,December
1968,7.1,1.3,1.1,0.8,133.7,189,402.3,708.7,379.8,154.7,10.7,0
1969,0,0.6,-1,11.1,44.3,151.4,213.4,462.7,417,227.3,64.2,48.9
1970,8,0,5.9,46.5,38.5,146.8,445.1,514.5,872.9,436,-1,-1
1971,-1,-1,-1,36,199.7,250.5,436.1,238.7,111.3,386.8,235,159.8
1972,39.5,2.6,40.3,42.4,176.8,492.7,1885.3,583.7,256.5,65.2,100.8,-1
1973,5.8,1.9,0.6,0.5,22.7,387.2,285.2,,261.7,348.9,198.9,69.8
1974,0.3,41.9,2.1,34.6,89.5,456.1,277.9,1134.8,60,301,372.3,107.5
1975,16.2,0.5,0.5,29.2,72.1,290.7,144.9,551.4,242.8,507.8,70.2,507.8
1976,-1,2,19.1,6.9,-1,-1,-1,-1,-1,-1,-1,-1
1977,86.4,3.5,25.5,5.1,68.5,160.3,398.6,539.8,502.8,54.1,337.4,47.6
1978,2,2.4,0,31.2,167.6,174.4,-1,-1,-1,598.3,90.9,47.6
1979,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1981,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
